event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
PNG41,2021-01-22,2021,1,Strategic developments,Strategic developments,Agreement,Civilians (Papua New Guinea),Emigari Tribal Group (Papua New Guinea),Civilians,Civilians (Papua New Guinea),Gegru Tribal Group (Papua New Guinea),Civilians,Civilians-Civilians,NA,598,Oceania,Papua New Guinea,Madang,Usino Bundi,NA,Usino,-5.5004,145.4356,2,Loop News Papua New Guinea,National,"On 22 January 2021, Emigari tribe of Bundi had a peace agreement with the Gegru tribe and held a mediation event near Usino (Madang), following an attack that occurred on 28 December 2020 in which the Emigari tribe destroyed property of the Gregru tribe. The Gegru tribe additionally demanded at the mediation event that the Emigari tribe pay them K150,000 and 10 pigs by the 3rd week of June 2021.",0,NA,1762829554
PNG1050,2021-01-22,2021,1,Political violence,Riots,Mob violence,Rioters (Papua New Guinea),Unidentified Tribal Group (Papua New Guinea),Rioters,Civilians (Papua New Guinea),NA,Civilians,Rioters-Civilians,Civilian targeting,598,Oceania,Papua New Guinea,Enga,Wabag,NA,Kaematok,-5.138,143.5509,2,PNG Daily,National,"On 22 January 2021, members of unidentified enemy tribes killed a village leader along the Maramuni Road in Maramuni Rural LLG (coded to Kaematok, Enga). The motive for the attack was unclear.",1,crowd size=no report,1731510577
PNG30,2021-01-24,2021,1,Political violence,Riots,Mob violence,Rioters (Papua New Guinea),Wagol Communal Group (Papua New Guinea),Rioters,Civilians (Papua New Guinea),NA,Civilians,Rioters-Civilians,Civilian targeting,598,Oceania,Papua New Guinea,Madang,Madang,NA,Madang,-5.2225,145.7913,1,The National (Papua New Guinea),National,"On 24 January 2021, youths from Wagol settlement attacked a young girl and a man with stones causing severe injuries to both at a residence on Talio Street, near Wagol settlement, in Madang (Madang). The motive for the attack is not known however police noted that settlers evicted from Nagada settlement were moving to urban settlements including Wagol.",0,crowd size=no report,1721769336
PNG643,2021-01-27,2021,1,Political violence,Riots,Mob violence,Rioters (Papua New Guinea),Pi Pati Clan Group (Papua New Guinea),Rioters,Civilians (Papua New Guinea),Pi Pati Clan Group (Papua New Guinea),Civilians,Rioters-Civilians,Civilian targeting,598,Oceania,Papua New Guinea,Hela,Tari-Pori,NA,Pii Nakia,-5.8179,142.9581,1,Guardian; The National (Papua New Guinea),National-International,"On 27 January 2021, a Pi Pati clan member initiated a deadly brawl which led to the deaths of two men, a woman, and a child, when the clan member shot to death a member of his clan at a funeral service in Pii Nakia (Hela). The funeral was being held in honor of another clan member whom the shooter had killed two weeks due to a land dispute. From 27 January 2021 to 12 February 2021, a surge of indiscriminate violence occurred within Tagali and Tebi local level government areas, killing 21 people, injuring dozens, destroying properties, and displacing approximately 6,000 villagers .",5,crowd size=no report,1741741875
PNG46,2021-01-27,2021,1,Strategic developments,Strategic developments,Agreement,Civilians (Papua New Guinea),Leapi Pende Tribal Group (Papua New Guinea),Civilians,Civilians (Papua New Guinea),Leapi Pako Tribal Group (Papua New Guinea),Civilians,Civilians-Civilians,NA,598,Oceania,Papua New Guinea,Enga,Lagaip-Porgera,NA,Mt. Kare,-5.5704,142.9548,1,Post Courier,National,"On 27 January 2021, leaders from the Leapi Pako clan and the Leapi Pende clan signed a peace agreement in Mt. Kare (Enga). The conditions of the agreement included the following: (1) that all hired fighters shall return immediately to their respective provinces of origin; (2) that the Porgera district law and order mediation team shall mediate disputes regarding settlements; (3) that the two clans shall abide by any decisions made by the said mediation team, and in the event of a disagreement, follow appeal processes; and (4) persons who breach the peace agreement shall incur penalties including a fine of K2000 or a two-year imprisonment. The fighting between the two clans had originated from a land dispute in the Paiela area on 29 November 2017, and extended into the neighboring Porgera valley causing casualties, displacement of persons and property destruction.",0,NA,1734463312
PNG43,2021-01-28,2021,2,Political violence,Riots,Mob violence,Rioters (Papua New Guinea),Unidentified Tribal Group (Papua New Guinea),Rioters,Civilians (Papua New Guinea),Women (Papua New Guinea),Civilians,Rioters-Civilians,Civilian targeting,598,Oceania,Papua New Guinea,Hela,Tari-Pori,NA,Mulipi,-5.8222,142.9708,1,Canberra Times; Guardian; HRW; Post Courier; Sociol Perspective; The National (Papua New Guinea),Other-New media,"Around 28 January 2021 (week of), a group of armed fighters from a family militia killed two children and one woman, and sexually assaulted a female child in Mulipi (Hela). These attacks occurred as a result of a violent conflict which originated in Pii between two factions of a family regarding a land dispute. However, the councilor from Mulipi stated that the victims had no connection to this conflict and that the local villagers did not want to become involved in it. From 28 January 2021 to 12 February 2021, the said conflict killed 21 people.",3,crowd size=no report; sexual violence; women targeted: girls,1746565740
PNG70,2021-01-28,2021,2,Strategic developments,Strategic developments,Other,Civilians (Papua New Guinea),Refugees/IDPs (Papua New Guinea),Civilians,NA,NA,NA,Civilians only,NA,598,Oceania,Papua New Guinea,Hela,Tari-Pori,NA,Hoiebia,-5.8314,142.9713,1,The National (Papua New Guinea),National,"Displacement: Around 28 January 2021 (week of), around 1000 villagers, mostly women and children, fled from Mulipi to Hoiebia (Hela) in order to escape from violence occurring as a result of a violent conflict which originated in Pii between two factions of a family regarding a land dispute.",0,NA,1643820474
PNG645,2021-01-30,2021,1,Political violence,Riots,Mob violence,Rioters (Papua New Guinea),Ayako Tribal Group (Papua New Guinea); Hawa Tribal Group (Papua New Guinea); Pi Pati Clan Group (Papua New Guinea),Rioters,Civilians (Papua New Guinea),NA,Civilians,Rioters-Civilians,Civilian targeting,598,Oceania,Papua New Guinea,Hela,Tari-Pori,NA,Kuandi 2,-5.8273,142.9716,2,Guardian; The National (Papua New Guinea),National-International,"On 30 January 2021, factions of the Pi Pati clan led by prominent warlords and allies from Hawa clan and Ayako tribe killed six men who were allegedly planning a retaliatory attack near Mulipi, Tebi Rural LLG (coded to Kuandi 2 ward, Hela), following the murder of their relative in Port Moresby on 29 January 2021. From 27 January 2021 to 12 February 2021, a surge of indiscriminate violence occurred within Tagali and Tebi local level government areas, killing 21 people, injuring dozens, destroying properties, and displacing approximately 6,000 villagers. This conflict began when the Pi Pati clan was split into two factions after a land dispute in Pii Nakia between two clansmen resulted in one killing the other.",6,crowd size=no report,1741741875
PNG644,2021-02-03,2021,2,Political violence,Riots,Mob violence,Rioters (Papua New Guinea),Ayako Tribal Group (Papua New Guinea); Hawa Tribal Group (Papua New Guinea); Pi Pati Clan Group (Papua New Guinea),Rioters,Civilians (Papua New Guinea),Mulipi Communal Group (Papua New Guinea); Women (Papua New Guinea),Civilians,Rioters-Civilians,Civilian targeting,598,Oceania,Papua New Guinea,Hela,Tari-Pori,NA,Kuandi 2,-5.8273,142.9716,2,Guardian; The National (Papua New Guinea),National-International,"Around 3 February 2021 (as reported), rioting factions of the Pi Pati clan led by prominent warlords and allies from Hawa clan and Ayako tribe killed two children, a woman, and repeatedly gang-raped a girl in Mulipi, Tebi Rural LLG (coded to Kuandi 2 ward, Hela). From 27 January 2021 to 12 February 2021, a surge of indiscriminate violence occurred within Tagali and Tebi local level government areas, killing 21 people, injuring dozens, destroying properties, and displacing approximately 6,000 villagers. This conflict began when the Pi Pati clan was split into two factions after a land dispute in Pii Nakia between two clansmen resulted in one killing the other.",3,crowd size=no report; sexual violence; women targeted: girls,1746565740
PNG646,2021-02-03,2021,1,Political violence,Riots,Mob violence,Rioters (Papua New Guinea),Ayako Tribal Group (Papua New Guinea); Hawa Tribal Group (Papua New Guinea); Pi Pati Clan Group (Papua New Guinea),Rioters,Civilians (Papua New Guinea),NA,Civilians,Rioters-Civilians,Civilian targeting,598,Oceania,Papua New Guinea,Hela,Tari-Pori,NA,Hamboli,-5.8765,143.0055,1,Guardian; The National (Papua New Guinea),National-International,"On 3 February 2021, factions of the Pi Pati clan led by prominent warlords and allies from Hawa clan and Ayako tribe killed a displaced villager in Hamboli (Hela). From 27 January 2021 to 12 February 2021, a surge of indiscriminate violence occurred within Tagali and Tebi local level government areas, killing 21 people, injuring dozens, destroying properties, and displacing approximately 6,000 villagers. This conflict began when the Pi Pati clan was split into two factions after a land dispute in Pii Nakia between two clansmen resulted in one killing the other.",1,crowd size=no report,1741741875
PNG1051,2021-02-09,2021,2,Political violence,Riots,Mob violence,Rioters (Papua New Guinea),NA,Rioters,Civilians (Papua New Guinea),NA,Civilians,Rioters-Civilians,Civilian targeting,598,Oceania,Papua New Guinea,Enga,Wabag,NA,Kaematok,-5.138,143.5509,2,PNG Daily,National,"Around 9 February 2021 (as reported), unidentified assailants ambushed the relatives of a former ward member along the Maramuni Road in Maramuni Rural LLG (coded to Kaematok, Enga), resulting in 4 people being killed and 2 people being injured. The motive for the attack was unclear.",4,crowd size=no report,1731510577
PNG968,2021-02-19,2021,1,Political violence,Riots,Mob violence,Rioters (Papua New Guinea),Vigilante Group (Papua New Guinea),Rioters,Civilians (Papua New Guinea),Women (Papua New Guinea),Civilians,Rioters-Civilians,Civilian targeting,598,Oceania,Papua New Guinea,Enga,Lagaip-Porgera,NA,Laiagam Urban,-5.4951,143.4886,1,Post Courier,National,"On 19 February 2021, six women were abducted based on accusations of practicing sorcery in Laiagam Urban (Enga). They were only accused of practicing sorcery, not killing anybody, and one captured woman had been rescued as of 2021-02-22. They were likely assaulted.",0,crowd size=no report; women targeted: accused of witchcraft/sorcery,1728421385
PNG1043,2021-02-24,2021,1,Strategic developments,Strategic developments,Other,Rioters (Papua New Guinea),NA,Rioters,Civilians (Papua New Guinea),NA,Civilians,Rioters-Civilians,NA,598,Oceania,Papua New Guinea,Western Highlands,Mount Hagen,NA,Mount Hagen,-5.8561,144.2341,1,The National (Papua New Guinea),National,"Other: On 24 February 2021, unidentified thieves killed a man in front of the Rainbow Supermarket in China Town in Mount Hagen (Western Highlands). The man was trying to protect a woman from being robbed when the thieves stabbed and killed him. On the following day, the slain man's relatives from Kagua, armed with bush knives, engaged in a retaliatory attack and confronted the group responsible for his death (coded separately). This led to a fight between the Kaguas and another group from Pope Oval, causing businesses in the city to close.",1,NA,1762292062
PNG1040,2021-02-25,2021,1,Political violence,Riots,Mob violence,Rioters (Papua New Guinea),NA,Rioters,Rioters (Papua New Guinea),NA,Rioters,Rioters-Rioters,NA,598,Oceania,Papua New Guinea,Western Highlands,Mount Hagen,NA,Mount Hagen,-5.8561,144.2341,1,The National (Papua New Guinea),National,"On 25 February 2021, people from Kagua clashed with people from Pope Oval at the animal market in Mount Hagen (Western Highlands). The fight began when one of the relatives of the people from Kagua, who was trying to protect a woman from being robbed, was stabbed and killed by thieves yesterday in front of the Rainbow Supermarket in Mount Hagen (coded separately). The slain man's relatives from Kagua, armed with bush knives, engaged in a retaliatory attack and confronted the group responsible for his death, causing businesses in the city to close. There were no casualties",0,crowd size=no report,1762292062
PNG48,2021-02-27,2021,1,Political violence,Riots,Mob violence,Rioters (Papua New Guinea),Unidentified Tribal Group (Papua New Guinea),Rioters,Police Forces of Papua New Guinea (2019-),Unidentified Tribal Group (Papua New Guinea),State forces,State forces-Rioters,NA,598,Oceania,Papua New Guinea,Hela,Komo-Magarima,NA,Iangome,-5.8934,142.9644,1,The National (Papua New Guinea),National,"On 27 February 2021, warlords of various unidentified tribal groups, some armed, erupted into clashes during a pig-slaughtering ceremony at Yangome village in Iangome ward (Hela), fighting among each other and with local police, resulting in a policeman firing a warning shot which accidentally killed a child who was situated in a nearby residential area. Also, tribal fighters slashed a policeman, severely injuring him, and ransacked the Pai mobile squad barracks.",1,crowd size=no report,1746560206
PNG54,2021-03-01,2021,1,Political violence,Riots,Mob violence,Rioters (Papua New Guinea),NA,Rioters,Civilians (Papua New Guinea),NA,Civilians,Rioters-Civilians,Civilian targeting,598,Oceania,Papua New Guinea,National Capital District,National Capital District,NA,Port Moresby,-9.444,147.1813,1,AFP; Kaniva Tonga; The National (Papua New Guinea),National-Regional,"Looting: On 1 March 2021, crowds of people ransacked at least two stores in the suburbs of Gordon and 2-Mile in Port Moresby (National Capital District) after the shop owners had attempted to remain open, despite the majority of stores being closed during a national day of mourning for the country's first prime minister, who died on 26 February 2021.",0,crowd size=no report,1750186809
PNG52,2021-03-01,2021,1,Political violence,Riots,Mob violence,Rioters (Papua New Guinea),NA,Rioters,NA,NA,NA,Rioters only,NA,598,Oceania,Papua New Guinea,New Ireland,Kavieng,NA,Kavieng Urban,-2.5698,150.8034,1,AFP; Kaniva Tonga; The National (Papua New Guinea),National-Regional,"On 1 March 2021, a crowd of people ransacked an Asian-owned supermarket on Mongol Road in Kavieng (New Ireland). The shop had attempted to remain open despite the majority of stores being closed during a national day of mourning for the country's first Prime Minister, who died on 25 February 2021.",0,crowd size=no report,1748971251
PNG1054,2021-03-01,2021,3,Political violence,Riots,Mob violence,Rioters (Papua New Guinea),Unidentified Tribal Group (Papua New Guinea),Rioters,Rioters (Papua New Guinea),Unidentified Tribal Group (Papua New Guinea),Rioters,Rioters-Rioters,NA,598,Oceania,Papua New Guinea,Hela,Tari-Pori,NA,Kuandi 2,-5.8273,142.9716,2,PNG Daily,National,"Around 1 March 2021 (beginning of month), members of unidentified tribes engaged in a physical altercation at Pinagia and Mulubi villages in the Tebi LLG (coded to Kuandi 2, Hela). The fight started with a fight between cousins, leading to a tribal fight. The fight erupted in Tagali LLG (coded separately) and continued into Pinagia and Mulubi villages in the Tebi LLG on the same day. The fight resulted in the deaths of 20 people. 20 fatalities were split over two events; 10 fatalities were coded in this event.",10,crowd size=no report,1732047032
PNG1055,2021-03-01,2021,3,Political violence,Riots,Mob violence,Rioters (Papua New Guinea),Unidentified Tribal Group (Papua New Guinea),Rioters,Rioters (Papua New Guinea),Unidentified Tribal Group (Papua New Guinea),Rioters,Rioters-Rioters,NA,598,Oceania,Papua New Guinea,Hela,Tari-Pori,NA,Peta-Porogorali,-5.8149,142.9003,2,PNG Daily,National,"Around 1 March 2021 (beginning of month), members of unidentified tribes engaged in a physical altercation in Tagali LLG (coded to Peta-Porogorali, Hela). The fight started with a fight between cousins, leading to a tribal fight. The fight erupted in Tagali LLG and continued into Pinagia and Mulubi villages in the Tebi LLG on the same day (coded separately). The fight resulted in the deaths of 20 people. 20 fatalities were split over two events; 10 fatalities were coded in this event.",10,crowd size=no report,1726602897
PNG53,2021-03-01,2021,1,Political violence,Riots,Mob violence,Rioters (Papua New Guinea),NA,Rioters,Police Forces of Papua New Guinea (2019-),NA,State forces,State forces-Rioters,NA,598,Oceania,Papua New Guinea,Morobe,Lae,NA,Lae,-6.7169,146.9998,1,The National (Papua New Guinea); Kaniva Tonga; AFP,National-International,"On 1 March 2021, a crowd of people staged attacks on vehicles, including stoning police cars, looted stores and set up several roadblocks using sticks and stones in Lae (Morobe). On Back Road, some of the rioters armed with guns fired several shots toward police officers and others threw rocks. However, people claimed that the shots fired came from police. The police officers were able to disperse the crowd and no injuries were incurred. The violence erupted during a national day of mourning for the country's first prime minister, who died on Friday.",0,crowd size=no report,1651165044
PNG118,2021-03-02,2021,1,Political violence,Violence against civilians,Sexual violence,Police Forces of Papua New Guinea (2019-),NA,State forces,Civilians (Papua New Guinea),Women (Papua New Guinea),Civilians,State forces-Civilians,Civilian targeting,598,Oceania,Papua New Guinea,Western,South Fly,NA,Daru Town,-9.0791,143.2093,1,The National (Papua New Guinea),National,"On 2 March 2021, six policemen abducted a 27-year-old woman at Samai settlement and then raped her outside Daru airport (Western).",0,NA,1754410691
PNG49,2021-03-02,2021,1,Political violence,Riots,Mob violence,Rioters (Papua New Guinea),Engan Ethnic Group (Papua New Guinea),Rioters,Civilians (Papua New Guinea),Goilala Ethnic Group (Papua New Guinea),Civilians,Rioters-Civilians,Civilian targeting,598,Oceania,Papua New Guinea,National Capital District,National Capital District,NA,Port Moresby,-9.444,147.1813,1,The National (Papua New Guinea),National,"On 2 March 2021, at approximately 5:30 p.m. a group of four Engan armed with bush knives killed a Goilala man who was returning home from work on Taurama Road, next to the Vadavada settlement in Port Moresby (National Capital District). This killing forms part of sporadic tribal violence that has occurred in the Vadavada settlement between the two ethnic groups over the past four months.",1,crowd size=4,1750186809
PNG50,2021-03-02,2021,1,Political violence,Riots,Mob violence,Rioters (Papua New Guinea),Goilala Ethnic Group (Papua New Guinea),Rioters,Rioters (Papua New Guinea),Engan Ethnic Group (Papua New Guinea),Rioters,Rioters-Rioters,NA,598,Oceania,Papua New Guinea,National Capital District,National Capital District,NA,Port Moresby,-9.444,147.1813,1,Post Courier,National,"On 2 March 2021, armed clashes erupted between Engan and Goilala men in the Vadavada settlement in Port Moresby (National Capital District), resulting in the death of one Engan man and the burning of houses of the Goilala people. The clash occurred as a result of the killing of a Goilala man by a group of Engan fighters that evening.",1,crowd size=no report,1750186809
PNG73,2021-03-13,2021,2,Strategic developments,Strategic developments,Agreement,Civilians (Papua New Guinea),Kemb Tribal Group (Papua New Guinea),Civilians,Civilians (Papua New Guinea),Komea Tribal Group (Papua New Guinea),Civilians,Civilians-Civilians,NA,598,Oceania,Papua New Guinea,Southern Highlands,Nipa-Kutubu,NA,Nipa,-6.1258,143.4224,2,The National (Papua New Guinea),National,"Around 13 March 2021 (week of), the Komea group provided compensation to the relatives of a slain school student, at a ceremony near Nipa (Southern Highlands), marking the end of the dispute between the two tribes. The killing of the victim occurred following failed peace negotiations between the two tribes regarding the death of a man in Port Moresby.",0,NA,1734463311
PNG71,2021-03-14,2021,1,Political violence,Riots,Mob violence,Rioters (Papua New Guinea),NA,Rioters,Private Security Forces (Papua New Guinea),NA,External/Other forces,Rioters-External/Other forces,NA,598,Oceania,Papua New Guinea,National Capital District,National Capital District,NA,Port Moresby,-9.444,147.1813,1,The National (Papua New Guinea),National,"On 14 March 2021, a crowd of mourners turned violent, throwing objects at airport security personnel, breaking down a fence and rushing the tarmac at Jacksons International Airport in Port Moresby (National Capital District). The crowd were angry that the remains of the country's first Prime Minister were loaded into the cargo of the airplane rather than its passenger section, however peace was restored when a larger airplane was able to be used to carry the casket in its passenger section.",0,crowd size=no report,1750186809
PNG98,2021-03-14,2021,1,Political violence,Riots,Mob violence,Rioters (Papua New Guinea),Sepik Ethnic Group (Papua New Guinea),Rioters,Civilians (Papua New Guinea),Muya Communal Group (Papua New Guinea),Civilians,Rioters-Civilians,Civilian targeting,598,Oceania,Papua New Guinea,Morobe,Huon,NA,Munum,-6.5733,146.8499,1,The National (Papua New Guinea),National,"On 14 March 2021, Sepik settlers killed a male villager at Muya village in Munum ward (Morobe). Police arrested and charged two suspects and burnt down their houses. The killing occurred as a part of ongoing tensions regarding land in Muya between landowners and Sepik settlers.",1,crowd size=no report,1729632807
PNG14,2021-03-15,2021,3,Political violence,Riots,Mob violence,Rioters (Papua New Guinea),Vigilante Group (Papua New Guinea),Rioters,Civilians (Papua New Guinea),Women (Papua New Guinea),Civilians,Rioters-Civilians,Civilian targeting,598,Oceania,Papua New Guinea,Eastern Highlands,Goroka,NA,Goroka Urban,-6.085,145.3907,1,The National (Papua New Guinea),National,"Around 15 March 2021 (month of), eight people, relatives of a deceased man, tortured a woman and her daughter with hot iron rod, broke both their arms and inflicted multiple injuries in Goroka Urban (Eastern Highlands) claiming they practice sorcery and killed their relative. The victims were the wife and daughter of the deceased man. The daughter suffered injuries to her head and other areas. She was taken to a bridge and thrown into the river until she admitted to sorcery to save her life.",0,crowd size=8; women targeted: accused of witchcraft/sorcery,1741648625
PNG960,2021-03-15,2021,3,Political violence,Riots,Mob violence,Rioters (Papua New Guinea),Nomali Tribal Group (Papua New Guinea),Rioters,Rioters (Papua New Guinea),Aiyala Tribal Group (Papua New Guinea),Rioters,Rioters-Rioters,NA,598,Oceania,Papua New Guinea,Enga,Lagaip-Porgera,NA,Kairik,-5.4444,143.1706,1,The National,International,"Around 15 March 2021 (month of), Nomali and Aiyala tribes clashed at Kairik (Enga). The fight was triggered by disputes over unpaid compensation payments and land issues. Almost 100 people have been killed in clashes between the Aiyela and Nomali tribes over a year, from March 2021 to March 2022, in Kairik village. Unknown casualties.",0,crowd size=no report,1730855107
PNG635,2021-03-17,2021,1,Political violence,Riots,Mob violence,Rioters (Papua New Guinea),NA,Rioters,Civilians (Papua New Guinea),Labor Group (Papua New Guinea),Civilians,Rioters-Civilians,Civilian targeting,598,Oceania,Papua New Guinea,Enga,Lagaip-Porgera,NA,Pokolip,-5.3765,143.3496,1,Enga Nius,Subnational,"On 17 March 2021, relatives of a deceased man from Mulitaka ward attacked and killed a crew member of a bus at a roadblock in Pokolip ward (Enga). They also set up the roadblock to express their anger over their relative's death.",1,crowd size=no report,1719352969
PNG74,2021-03-18,2021,1,Political violence,Battles,Armed clash,Unidentified Armed Group (Papua New Guinea),NA,Political militia,Police Forces of Papua New Guinea (2019-),NA,State forces,State forces-Political militia,NA,598,Oceania,Papua New Guinea,Milne Bay,Alotau,NA,Alotau,-10.3084,150.4568,1,The National (Papua New Guinea),National,"On 18 March 2021, a group of men armed with guns and knives attacked the police station at Alotau (Milne Bay). Police forces opened fire on the group which then dispersed to attack a priest house nearby. No damage or injuries were incurred.",0,NA,1762292062
PNG75,2021-03-19,2021,1,Political violence,Violence against civilians,Attack,Tommy Baker Gang,NA,Identity militia,Civilians (Papua New Guinea),Catholic Christian Group (Papua New Guinea),Civilians,Identity militia-Civilians,Civilian targeting,598,Oceania,Papua New Guinea,Milne Bay,Alotau,NA,Alotau,-10.3084,150.4568,1,The National (Papua New Guinea),National,"On 19 March 2021, a group of 15 - 30 armed men with guns and knives attacked a house residence of priests in Alotau (Milne Bay) severely injuring seven victims and stealing from the house. The identity of the perpetrators is unknown, however one police officer has suggested that it was a Tommy Baker gang.",0,NA,1762292062
